EnsemblID	GeneID	count
ENSG00000139890	161253	52
ENSG00000139899	643866	8
ENSG00000139908	283629	18
ENSG00000139910	4857	133
ENSG00000139914	161247	10
ENSG00000139915	161357	28
ENSG00000139921	81542	67
ENSG00000139926	122786	109
ENSG00000139946	57161	31
ENSG00000139970	6252	61
ENSG00000139971	145407	2
ENSG00000139973	83851	8
ENSG00000139974	145389	12
ENSG00000139977	122830	14
ENSG00000139985	8747	14
ENSG00000139988	145226	149
ENSG00000139990	8816	4
ENSG00000139998	376267	19
ENSG00000140006	112840	6
ENSG00000140009	2100	6263
ENSG00000140015	27133	52
ENSG00000140022	85439	42
ENSG00000140025	90141	7
ENSG00000140030	8477	127
ENSG00000140043	145482	21
ENSG00000140044	122953	111
ENSG00000140057	122481	37
ENSG00000140067	90050	9
ENSG00000140090	123041	85
ENSG00000140092	10516	307
ENSG00000140093	51156	108
ENSG00000140104	122616	2
ENSG00000140105	7453	1065
ENSG00000140107	283600	7
ENSG00000140153	91833	20
ENSG00000140157	81614	45
ENSG00000141946	114026	13
ENSG00000142025	63946	7
ENSG00000142039	90324	2
ENSG00000142046	641649	2
ENSG00000142065	57677	3
ENSG00000142208	207	84952
ENSG00000142230	10055	126
ENSG00000142252	79760	22
ENSG00000142273	23624	234
ENSG00000142279	126374	34
ENSG00000142405	91662	275
ENSG00000142408	59283	35
ENSG00000142409	126208	8
ENSG00000142444	90580	7
ENSG00000142453	10498	428
ENSG00000142556	80110	1
ENSG00000145012	4026	279
ENSG00000145014	93109	10
ENSG00000145016	9711	132
ENSG00000145107	116211	17
ENSG00000145113	4585	1108
ENSG00000145191	8893	210
ENSG00000145192	197	1772
ENSG00000145194	9718	61
ENSG00000145198	90113	3
ENSG00000146757	168374	6
ENSG00000146938	57502	101
ENSG00000147036	347404	1
ENSG00000147041	94122	17
ENSG00000147044	8573	295
ENSG00000147050	7403	802
ENSG00000147059	54466	6
ENSG00000147082	85417	107
ENSG00000147113	79742	8
ENSG00000147117	7712	4
ENSG00000147118	7569	13
ENSG00000147119	56548	25
ENSG00000147121	55634	5
ENSG00000147123	54539	51
